,DATE,TIME,GAZR,GMKN,LKOH,SBRF,VTBR,RTS
220,20210126,210000,21974.0,25952.0,56323.0,26966.0,3792.0,141810.0
221,20210126,220000,22000.0,25960.0,56363.0,27006.0,3794.0,141960.0
222,20210126,230000,22022.0,25972.0,56345.0,27064.0,3798.0,142250.0
223,20210127,0,22021.0,25920.0,56262.0,27098.0,3798.0,142440.0
224,20210127,110000,22218.0,25933.0,56410.0,27124.0,3800.0,142780.0
225,20210127,120000,22166.0,25799.0,55846.0,27269.0,3788.0,142020.0
226,20210127,130000,22246.0,25571.0,56008.0,27457.0,3794.0,142070.0
227,20210127,140000,22178.0,25475.0,55855.0,27421.0,3788.0,141610.0
228,20210127,150000,21991.0,25315.0,55652.0,27155.0,3756.0,140050.0
229,20210127,160000,21901.0,25317.0,55662.0,26892.0,3764.0,139530.0
230,20210127,170000,21888.0,25340.0,55610.0,26834.0,3760.0,139340.0
231,20210127,180000,21880.0,25194.0,55217.0,26741.0,3756.0,138680.0
232,20210127,190000,21917.0,25312.0,55450.0,26846.0,3755.0,139400.0
233,20210127,200000,21924.0,25191.0,55502.0,26786.0,3740.0,139090.0
234,20210127,210000,21975.0,25244.0,55565.0,26873.0,3746.0,139690.0
235,20210127,220000,21929.0,25260.0,55603.0,26858.0,3752.0,139740.0
236,20210127,230000,21892.0,25181.0,55400.0,26734.0,3741.0,138970.0
237,20210128,0,21864.0,25147.0,55305.0,26694.0,3733.0,138520.0
238,20210128,110000,21724.0,25013.0,55124.0,26401.0,3693.0,137290.0
239,20210128,120000,21684.0,25012.0,55542.0,26342.0,3690.0,136810.0
240,20210128,130000,21796.0,25016.0,55727.0,26494.0,3710.0,137490.0
241,20210128,140000,21874.0,24996.0,55457.0,26476.0,3711.0,137320.0
242,20210128,150000,21850.0,25078.0,55600.0,26437.0,3721.0,137240.0
243,20210128,160000,21932.0,25079.0,55513.0,26505.0,3723.0,137220.0
244,20210128,170000,22029.0,25264.0,56080.0,26810.0,3750.0,138540.0
245,20210128,180000,21929.0,25370.0,56314.0,26776.0,3737.0,138670.0
246,20210128,190000,21868.0,25400.0,56056.0,26588.0,3736.0,138330.0
247,20210128,200000,21847.0,25300.0,56000.0,26618.0,3717.0,138280.0
248,20210128,210000,21885.0,25279.0,56076.0,26712.0,3733.0,138630.0
249,20210128,220000,21912.0,25366.0,56135.0,26778.0,3739.0,139280.0
250,20210128,230000,21916.0,25377.0,56130.0,26734.0,3736.0,139070.0
251,20210129,0,21906.0,25376.0,56112.0,26743.0,3736.0,138950.0
252,20210129,110000,21648.0,25059.0,55602.0,26347.0,3710.0,137000.0
253,20210129,120000,21552.0,25020.0,55142.0,26306.0,3702.0,136840.0
254,20210129,130000,21602.0,25033.0,54983.0,26210.0,3690.0,136290.0
255,20210129,140000,21595.0,25060.0,55153.0,26282.0,3693.0,136850.0
256,20210129,150000,21609.0,25055.0,55001.0,26282.0,3699.0,137310.0
257,20210129,160000,21552.0,24865.0,54938.0,26234.0,3697.0,137040.0
258,20210129,170000,21492.0,24790.0,54693.0,26162.0,3705.0,137490.0
259,20210129,180000,21473.0,24602.0,54569.0,26083.0,3704.0,137030.0
260,20210129,190000,21534.0,24654.0,54380.0,25978.0,3695.0,136730.0
261,20210129,200000,21455.0,24529.0,54100.0,25992.0,3689.0,136240.0
262,20210129,210000,21402.0,24524.0,54056.0,25928.0,3683.0,135530.0
263,20210129,220000,21427.0,24514.0,54147.0,25946.0,3687.0,135640.0
264,20210129,230000,21411.0,24517.0,54177.0,25960.0,3686.0,135860.0
265,20210130,0,21381.0,24552.0,54080.0,25948.0,3684.0,135740.0
266,20210201,110000,21489.0,24780.0,53827.0,26219.0,3712.0,136770.0
267,20210201,120000,21529.0,24797.0,53941.0,26262.0,3729.0,137280.0
268,20210201,130000,21477.0,24810.0,53858.0,26278.0,3728.0,137340.0
269,20210201,140000,21442.0,24789.0,53351.0,26263.0,3714.0,136770.0
270,20210201,150000,21501.0,24897.0,53609.0,26339.0,3717.0,137020.0
271,20210201,160000,21556.0,24979.0,53861.0,26410.0,3717.0,137310.0
272,20210201,170000,21501.0,25076.0,53870.0,26446.0,3712.0,137120.0
273,20210201,180000,21428.0,24889.0,53722.0,26369.0,3692.0,136480.0
274,20210201,190000,21411.0,24864.0,53520.0,26359.0,3694.0,136600.0
275,20210201,200000,21458.0,24875.0,53752.0,26395.0,3704.0,136400.0
276,20210201,210000,21483.0,24893.0,53801.0,26430.0,3703.0,136610.0
277,20210201,220000,21524.0,24985.0,53934.0,26458.0,3704.0,136870.0
278,20210201,230000,21548.0,24968.0,54207.0,26514.0,3716.0,137140.0
279,20210202,0,21584.0,25002.0,54343.0,26523.0,3713.0,137230.0
280,20210202,110000,21522.0,25106.0,54634.0,26563.0,3734.0,137960.0
281,20210202,120000,21494.0,25206.0,54773.0,26557.0,3731.0,138170.0
282,20210202,130000,21564.0,25177.0,54910.0,26668.0,3746.0,138540.0
283,20210202,140000,21618.0,25116.0,55376.0,26818.0,3749.0,138950.0
284,20210202,150000,21572.0,24955.0,55365.0,26640.0,3748.0,138720.0
285,20210202,160000,21908.0,25105.0,55614.0,26771.0,3761.0,139620.0
286,20210202,170000,21911.0,25216.0,56004.0,26871.0,3766.0,140510.0
287,20210202,180000,21890.0,25151.0,55873.0,26924.0,3770.0,139720.0
288,20210202,190000,21820.0,25083.0,56014.0,26863.0,3751.0,139900.0
289,20210202,200000,21808.0,25059.0,55755.0,26724.0,3753.0,139590.0
290,20210202,210000,21644.0,25061.0,55613.0,26576.0,3735.0,139060.0
291,20210202,220000,21618.0,25000.0,55475.0,26576.0,3729.0,138700.0
292,20210202,230000,21513.0,24893.0,55154.0,26478.0,3712.0,137920.0
293,20210203,0,21573.0,24903.0,55466.0,26419.0,3715.0,137980.0
294,20210203,110000,21750.0,25078.0,56458.0,26667.0,3743.0,139200.0
295,20210203,120000,21736.0,25166.0,56224.0,26720.0,3747.0,139130.0
296,20210203,130000,21652.0,25098.0,56161.0,26622.0,3737.0,138900.0
297,20210203,140000,21696.0,25103.0,55970.0,26646.0,3729.0,138870.0
298,20210203,150000,21646.0,25171.0,55676.0,26580.0,3727.0,138860.0
299,20210203,160000,21704.0,25285.0,55891.0,26446.0,3732.0,139110.0
300,20210203,170000,21794.0,25587.0,55763.0,26445.0,3741.0,139420.0
301,20210203,180000,21810.0,25400.0,55363.0,26351.0,3718.0,138880.0
302,20210203,190000,21858.0,25200.0,55623.0,26335.0,3705.0,138830.0
303,20210203,200000,21815.0,25379.0,55779.0,26343.0,3708.0,138950.0
304,20210203,210000,21814.0,25321.0,55748.0,26363.0,3714.0,138840.0
305,20210203,220000,21865.0,25418.0,55860.0,26456.0,3719.0,139110.0
306,20210203,230000,21912.0,25430.0,55876.0,26443.0,3722.0,139120.0
307,20210204,0,21928.0,25468.0,55731.0,26468.0,3722.0,139230.0
308,20210204,110000,21874.0,25724.0,55843.0,26579.0,3750.0,139750.0
309,20210204,120000,22163.0,25880.0,56252.0,26805.0,3749.0,140940.0
310,20210204,130000,22116.0,25856.0,56747.0,26750.0,3738.0,141020.0
311,20210204,140000,22126.0,25856.0,56861.0,26775.0,3740.0,141050.0
312,20210204,150000,22011.0,25766.0,56671.0,26713.0,3739.0,140320.0
313,20210204,160000,22015.0,25831.0,56815.0,26736.0,3730.0,140320.0
314,20210204,170000,22073.0,25920.0,57195.0,26897.0,3736.0,140680.0
315,20210204,180000,22069.0,25919.0,57258.0,27037.0,3743.0,140820.0
316,20210204,190000,21904.0,25845.0,56965.0,26935.0,3752.0,140140.0
317,20210204,200000,21986.0,25860.0,57026.0,27018.0,3750.0,140450.0
318,20210204,210000,21988.0,25860.0,57010.0,26999.0,3748.0,140430.0
319,20210204,220000,21994.0,25872.0,57183.0,27033.0,3748.0,140630.0
320,20210204,230000,22024.0,25875.0,57178.0,27081.0,3753.0,140950.0
321,20210205,0,22100.0,25901.0,57289.0,27138.0,3761.0,141380.0
322,20210205,110000,22148.0,25888.0,57454.0,27100.0,3766.0,142320.0
323,20210205,120000,22169.0,25822.0,57380.0,27185.0,3807.0,142570.0
324,20210205,130000,22187.0,25593.0,57553.0,27277.0,3797.0,142580.0
325,20210205,140000,22172.0,25517.0,57432.0,27257.0,3803.0,142830.0
326,20210205,150000,22147.0,25376.0,56984.0,27092.0,3797.0,142260.0
327,20210205,160000,22071.0,25053.0,56936.0,27116.0,3801.0,142180.0
328,20210205,170000,22162.0,25240.0,56920.0,27182.0,3803.0,142600.0
329,20210205,180000,22224.0,25382.0,57023.0,27213.0,3806.0,142670.0
330,20210205,190000,22269.0,25385.0,57108.0,27259.0,3801.0,143070.0
331,20210205,200000,22230.0,25436.0,57045.0,27208.0,3804.0,143030.0
332,20210205,210000,22296.0,25456.0,57188.0,27274.0,3804.0,143430.0
333,20210205,220000,22282.0,25461.0,57193.0,27283.0,3810.0,143480.0
334,20210205,230000,22285.0,25516.0,57214.0,27242.0,3808.0,143290.0
335,20210206,0,22295.0,25617.0,57399.0,27300.0,3814.0,143710.0
336,20210208,110000,22818.0,25670.0,58113.0,27620.0,3841.0,145770.0
337,20210208,120000,22718.0,25773.0,57899.0,27530.0,3834.0,145270.0
338,20210208,130000,22690.0,25802.0,57920.0,27484.0,3835.0,145330.0
339,20210208,140000,22690.0,25773.0,57855.0,27495.0,3830.0,145300.0
340,20210208,150000,22729.0,25819.0,57882.0,27477.0,3833.0,145300.0
341,20210208,160000,22715.0,25777.0,57832.0,27425.0,3827.0,145360.0
342,20210208,170000,22702.0,25827.0,57806.0,27476.0,3827.0,145480.0
343,20210208,180000,22734.0,25851.0,57530.0,27538.0,3838.0,146000.0
344,20210208,190000,22763.0,25906.0,57762.0,27597.0,3842.0,146320.0
345,20210208,200000,22762.0,25845.0,57615.0,27574.0,3839.0,145940.0
346,20210208,210000,22783.0,25840.0,57705.0,27593.0,3839.0,146010.0
347,20210208,220000,22802.0,25824.0,57672.0,27591.0,3837.0,146030.0
348,20210208,230000,22856.0,25879.0,57758.0,27634.0,3848.0,146360.0
349,20210209,0,22910.0,25948.0,57849.0,27648.0,3845.0,146430.0
350,20210209,110000,22915.0,25966.0,57660.0,27541.0,3827.0,146560.0
351,20210209,120000,22910.0,25620.0,57785.0,27288.0,3822.0,146240.0
352,20210209,130000,22975.0,25422.0,57676.0,27152.0,3810.0,146090.0
353,20210209,140000,22990.0,25516.0,57664.0,27146.0,3812.0,146240.0
